DAY,VOLUME_USD
2020-02-12 00:00:00.000,2308318.44
2020-02-13 00:00:00.000,1681081.59
2020-02-14 00:00:00.000,1894402.45
2020-02-15 00:00:00.000,813610.69
2020-02-16 00:00:00.000,690838.61
2020-02-17 00:00:00.000,619807.4
2020-02-18 00:00:00.000,1111497.34
2020-02-19 00:00:00.000,1735544.46
2020-02-20 00:00:00.000,510926.8
2020-02-21 00:00:00.000,555184.67
2020-02-22 00:00:00.000,273419.33
2020-02-23 00:00:00.000,507856.96
2020-02-24 00:00:00.000,482016.18
2020-02-25 00:00:00.000,354717.4
2020-02-26 00:00:00.000,724761.79
2020-02-27 00:00:00.000,579101.09
2020-02-28 00:00:00.000,140539.21
2020-02-29 00:00:00.000,529957.89
2020-03-01 00:00:00.000,163265.35
2020-03-02 00:00:00.000,118634.05
2020-03-03 00:00:00.000,176522.94
2020-03-04 00:00:00.000,410726.46
2020-03-05 00:00:00.000,280683.28
2020-03-06 00:00:00.000,428572.87
2020-03-07 00:00:00.000,188354.99
2020-03-08 00:00:00.000,492511.83
2020-03-09 00:00:00.000,998047.89
2020-03-10 00:00:00.000,388427.82
2020-03-11 00:00:00.000,1199113.2
2020-03-12 00:00:00.000,2872043.72
2020-03-13 00:00:00.000,2288957.96
2020-03-14 00:00:00.000,895388.91
2020-03-15 00:00:00.000,711330.36
2020-03-16 00:00:00.000,929958.04
2020-03-17 00:00:00.000,1002472.34
2020-03-18 00:00:00.000,786385.7
2020-03-19 00:00:00.000,716016.58
2020-03-20 00:00:00.000,680950.1
2020-03-21 00:00:00.000,507032.18
2020-03-22 00:00:00.000,639278.98
2020-03-23 00:00:00.000,709536.65
2020-03-24 00:00:00.000,319074.57
2020-03-25 00:00:00.000,781195.46
2020-03-26 00:00:00.000,126159.34
2020-03-27 00:00:00.000,318796.22
2020-03-28 00:00:00.000,337873.62
2020-03-29 00:00:00.000,232572.5
2020-03-30 00:00:00.000,425339.7
2020-03-31 00:00:00.000,255598.83
2020-04-01 00:00:00.000,174626.21
2020-04-02 00:00:00.000,143825.13
2020-04-03 00:00:00.000,127597.55
2020-04-04 00:00:00.000,102443.34
2020-04-05 00:00:00.000,119198.35
2020-04-06 00:00:00.000,768268.71
2020-04-07 00:00:00.000,365710.54
2020-04-08 00:00:00.000,580644.75
2020-04-09 00:00:00.000,177313.18
2020-04-10 00:00:00.000,1732820.96
2020-04-11 00:00:00.000,170824.69
2020-04-12 00:00:00.000,134105.72
2020-04-13 00:00:00.000,222565.3
2020-04-14 00:00:00.000,118830.1
2020-04-15 00:00:00.000,198983.88
2020-04-16 00:00:00.000,137970.75
2020-04-17 00:00:00.000,293034.71
2020-04-18 00:00:00.000,177407.14
2020-04-19 00:00:00.000,477432.49
2020-04-20 00:00:00.000,195365.6
2020-04-21 00:00:00.000,40982.49
2020-04-22 00:00:00.000,618098.23
2020-04-23 00:00:00.000,1897367.13
2020-04-24 00:00:00.000,667954.13
2020-04-25 00:00:00.000,544794.41
2020-04-26 00:00:00.000,551606.98
2020-04-27 00:00:00.000,1562499.14
2020-04-28 00:00:00.000,599549.97
2020-04-29 00:00:00.000,1649769.27
2020-04-30 00:00:00.000,1173901.39
2020-05-01 00:00:00.000,1296904.29
2020-05-02 00:00:00.000,436515.2
2020-05-03 00:00:00.000,1062014.56
2020-05-04 00:00:00.000,1898111.71
2020-05-05 00:00:00.000,2110347.58
2020-05-06 00:00:00.000,1772153.36
2020-05-07 00:00:00.000,1243429.33
2020-05-08 00:00:00.000,1357401.06
2020-05-09 00:00:00.000,656025.83
2020-05-10 00:00:00.000,2249378.76
2020-05-11 00:00:00.000,1093000.6
2020-05-12 00:00:00.000,501431.33
2020-05-13 00:00:00.000,2012840.08
2020-05-14 00:00:00.000,1073919.38
2020-05-15 00:00:00.000,1023342.13
2020-05-16 00:00:00.000,425743.05
2020-05-17 00:00:00.000,837582.44
2020-05-18 00:00:00.000,1273099.79
2020-05-19 00:00:00.000,1644547.89
2020-05-20 00:00:00.000,2151099.3
2020-05-21 00:00:00.000,2342298.19
2020-05-22 00:00:00.000,2323482.39
2020-05-23 00:00:00.000,1593266.46
2020-05-24 00:00:00.000,2062702.18
2020-05-25 00:00:00.000,2183526.69
2020-05-26 00:00:00.000,2324463.17
2020-05-27 00:00:00.000,1894925.11
2020-05-28 00:00:00.000,1884190.93
2020-05-29 00:00:00.000,3313774.39
2020-05-30 00:00:00.000,3496619.03
2020-05-31 00:00:00.000,2856805.89
2020-06-01 00:00:00.000,3001178.16
2020-06-02 00:00:00.000,6246659.61
2020-06-03 00:00:00.000,3660389.12
2020-06-04 00:00:00.000,3210356.84
2020-06-05 00:00:00.000,2915168.85
2020-06-06 00:00:00.000,3364809.97
2020-06-07 00:00:00.000,4209453.74
2020-06-08 00:00:00.000,4613801.12
2020-06-09 00:00:00.000,5771356.88
2020-06-10 00:00:00.000,6888841.85
2020-06-11 00:00:00.000,10175293.64
2020-06-12 00:00:00.000,5276373.17
2020-06-13 00:00:00.000,4128260.48
2020-06-14 00:00:00.000,5775590.07
2020-06-15 00:00:00.000,16521657.71
2020-06-16 00:00:00.000,21170432.53
2020-06-17 00:00:00.000,69132626.54
2020-06-18 00:00:00.000,45149027.7
2020-06-19 00:00:00.000,64191449.66
2020-06-20 00:00:00.000,23451185.95
2020-06-21 00:00:00.000,30337458.98
2020-06-22 00:00:00.000,24447157.18
2020-06-23 00:00:00.000,25713002.03
2020-06-24 00:00:00.000,25280140.64
2020-06-25 00:00:00.000,31255093.18
2020-06-26 00:00:00.000,28208975.22
2020-06-27 00:00:00.000,28956784.37
2020-06-28 00:00:00.000,14374876.58
2020-06-29 00:00:00.000,16978164.77
2020-06-30 00:00:00.000,16940774.28
2020-07-01 00:00:00.000,24547240.79
2020-07-02 00:00:00.000,35947915.39
2020-07-03 00:00:00.000,30797794.89
2020-07-04 00:00:00.000,20355210.89
2020-07-05 00:00:00.000,18069123.61
2020-07-06 00:00:00.000,21580136.28
2020-07-07 00:00:00.000,20205120.22
2020-07-08 00:00:00.000,36979350.48
2020-07-09 00:00:00.000,29328122.87
2020-07-10 00:00:00.000,27046381.89
2020-07-11 00:00:00.000,25940333.33
2020-07-12 00:00:00.000,32636636.99
2020-07-13 00:00:00.000,52105049.27
2020-07-14 00:00:00.000,32585357.27
2020-07-15 00:00:00.000,33674146.93
2020-07-16 00:00:00.000,35118364.23
2020-07-17 00:00:00.000,48572554.21
2020-07-18 00:00:00.000,61261391.16
2020-07-19 00:00:00.000,82696833.08
2020-07-20 00:00:00.000,85408458.43
2020-07-21 00:00:00.000,64990132.61
2020-07-22 00:00:00.000,73555555.14
2020-07-23 00:00:00.000,86580034.8
2020-07-24 00:00:00.000,95970040.64
2020-07-25 00:00:00.000,155731069.64
2020-07-26 00:00:00.000,145807766.43
2020-07-27 00:00:00.000,167081399.34
2020-07-28 00:00:00.000,136237486.59
2020-07-29 00:00:00.000,151707773.17
2020-07-30 00:00:00.000,160334443.35
2020-07-31 00:00:00.000,148786975.12
2020-08-01 00:00:00.000,124404718.58
2020-08-02 00:00:00.000,119863441.79
2020-08-03 00:00:00.000,111260987.31
2020-08-04 00:00:00.000,95593721.38
2020-08-05 00:00:00.000,100911558.73
2020-08-06 00:00:00.000,96956484.3
2020-08-07 00:00:00.000,144199107.28
2020-08-08 00:00:00.000,136540432.21
2020-08-09 00:00:00.000,155325201.76
2020-08-10 00:00:00.000,273210646.58
2020-08-11 00:00:00.000,188587254.11
2020-08-12 00:00:00.000,269800322.16
2020-08-13 00:00:00.000,250784329.15
2020-08-14 00:00:00.000,274277487.6
2020-08-15 00:00:00.000,188207268.12
2020-08-16 00:00:00.000,237032181.24
2020-08-17 00:00:00.000,257949333.87
2020-08-18 00:00:00.000,257039710.37
2020-08-19 00:00:00.000,281757973.31
2020-08-20 00:00:00.000,281111755.29
2020-08-21 00:00:00.000,270865113.76
2020-08-22 00:00:00.000,190433508.07
2020-08-23 00:00:00.000,177629291.32
2020-08-24 00:00:00.000,248769355.09
2020-08-25 00:00:00.000,226901943.84
2020-08-26 00:00:00.000,219861746.54
2020-08-27 00:00:00.000,205507801.62
2020-08-28 00:00:00.000,304362777.43
2020-08-29 00:00:00.000,375091767.56
2020-08-30 00:00:00.000,590696640.16
2020-08-31 00:00:00.000,713252134.48
2020-09-01 00:00:00.000,1111131333.38
2020-09-02 00:00:00.000,1136250976.29
2020-09-03 00:00:00.000,1057811213.27
2020-09-04 00:00:00.000,743273326.37
2020-09-05 00:00:00.000,1127939973.14
2020-09-06 00:00:00.000,749996238.35
2020-09-07 00:00:00.000,576417654.35
2020-09-08 00:00:00.000,511650375.45
2020-09-09 00:00:00.000,602768103.74
2020-09-10 00:00:00.000,834224027.85
2020-09-11 00:00:00.000,659270486.96
2020-09-12 00:00:00.000,609435390.13
2020-09-13 00:00:00.000,694124240.57
2020-09-14 00:00:00.000,809580924.61
2020-09-15 00:00:00.000,804073417.7
2020-09-16 00:00:00.000,650941292.08
2020-09-17 00:00:00.000,916781520
2020-09-18 00:00:00.000,863097833.3
2020-09-19 00:00:00.000,850956820.8
2020-09-20 00:00:00.000,576793550.89
2020-09-21 00:00:00.000,684790894.12
2020-09-22 00:00:00.000,484124038.65
2020-09-23 00:00:00.000,651137035.68
2020-09-24 00:00:00.000,487466497.97
2020-09-25 00:00:00.000,409407231.18
2020-09-26 00:00:00.000,401336294.21
2020-09-27 00:00:00.000,376518109.14
2020-09-28 00:00:00.000,398886257.87
2020-09-29 00:00:00.000,472224513.3
2020-09-30 00:00:00.000,396779831.91
2020-10-01 00:00:00.000,511053427.31
2020-10-02 00:00:00.000,580726645.5
2020-10-03 00:00:00.000,366421388.38
2020-10-04 00:00:00.000,417086089
2020-10-05 00:00:00.000,360439223.38
2020-10-06 00:00:00.000,500570375.14
2020-10-07 00:00:00.000,448104982.91
2020-10-08 00:00:00.000,454969882.16
2020-10-09 00:00:00.000,454299714.27
2020-10-10 00:00:00.000,378163881.96
2020-10-11 00:00:00.000,314064020.13
2020-10-12 00:00:00.000,366908366.9
2020-10-13 00:00:00.000,269500512.09
2020-10-14 00:00:00.000,349845334.96
2020-10-15 00:00:00.000,304818181.27
2020-10-16 00:00:00.000,279409893.44
2020-10-17 00:00:00.000,192284131.71
2020-10-18 00:00:00.000,210663567.84
2020-10-19 00:00:00.000,256213583.13
2020-10-20 00:00:00.000,300446172.8
2020-10-21 00:00:00.000,437429930.31
2020-10-22 00:00:00.000,388943982.05
2020-10-23 00:00:00.000,286121696.95
2020-10-24 00:00:00.000,176092665.21
2020-10-25 00:00:00.000,195478316.56
2020-10-26 00:00:00.000,498840137.75
2020-10-27 00:00:00.000,301156562.03
2020-10-28 00:00:00.000,454451791.36
2020-10-29 00:00:00.000,394623452.75
2020-10-30 00:00:00.000,423584052.19
2020-10-31 00:00:00.000,264770361.67
2020-11-01 00:00:00.000,224150474.64
2020-11-02 00:00:00.000,289526174.64
2020-11-03 00:00:00.000,301472560.960001
2020-11-04 00:00:00.000,299964565.2
2020-11-05 00:00:00.000,399836616.49
2020-11-06 00:00:00.000,483300138.2
2020-11-07 00:00:00.000,577289562.53
2020-11-08 00:00:00.000,280895948.62
2020-11-09 00:00:00.000,346013246.1
2020-11-10 00:00:00.000,325660613.55
2020-11-11 00:00:00.000,321765963.61
2020-11-12 00:00:00.000,322832497.81
2020-11-13 00:00:00.000,363559447.18
2020-11-14 00:00:00.000,585425008.62
2020-11-15 00:00:00.000,369526303.98
2020-11-16 00:00:00.000,426946152.58
2020-11-17 00:00:00.000,567249677.66
2020-11-18 00:00:00.000,511362640.42
2020-11-19 00:00:00.000,419910283.65
2020-11-20 00:00:00.000,517714470.71
2020-11-21 00:00:00.000,627713179.35
2020-11-22 00:00:00.000,694404595.62
2020-11-23 00:00:00.000,570221222.24
2020-11-24 00:00:00.000,618306007.91
2020-11-25 00:00:00.000,473279248.8
2020-11-26 00:00:00.000,1116362853.73
2020-11-27 00:00:00.000,377160276.66
2020-11-28 00:00:00.000,279144355.3
2020-11-29 00:00:00.000,306657219.3
2020-11-30 00:00:00.000,602475623.49
2020-12-01 00:00:00.000,611746633.25
2020-12-02 00:00:00.000,439601744.7
2020-12-03 00:00:00.000,431936544.73
2020-12-04 00:00:00.000,453432422.76
2020-12-05 00:00:00.000,407827418.07
2020-12-06 00:00:00.000,471478952.52
2020-12-07 00:00:00.000,399920554.75
2020-12-08 00:00:00.000,534108180.73
2020-12-09 00:00:00.000,488764155.46
2020-12-10 00:00:00.000,421750550.69
2020-12-11 00:00:00.000,400418823.07
2020-12-12 00:00:00.000,351354400.15
2020-12-13 00:00:00.000,320249185.9
2020-12-14 00:00:00.000,340703719.29
2020-12-15 00:00:00.000,391093347.87
2020-12-16 00:00:00.000,485448764.34
2020-12-17 00:00:00.000,863997825.68
2020-12-18 00:00:00.000,499687313.52
2020-12-19 00:00:00.000,489895364.72
2020-12-20 00:00:00.000,457486998.85
2020-12-21 00:00:00.000,627141450.88
2020-12-22 00:00:00.000,661587028.34
2020-12-23 00:00:00.000,756880503.84
2020-12-24 00:00:00.000,639342317.45
2020-12-25 00:00:00.000,530391424.17
2020-12-26 00:00:00.000,566775745.31
2020-12-27 00:00:00.000,881813239.01
2020-12-28 00:00:00.000,751124389.25
2020-12-29 00:00:00.000,802212649.63
2020-12-30 00:00:00.000,893251453.14
2020-12-31 00:00:00.000,725965473.23
2021-01-01 00:00:00.000,764160949.5
2021-01-02 00:00:00.000,1297500939.07
2021-01-03 00:00:00.000,1474658847.26
2021-01-04 00:00:00.000,2004022546.81
2021-01-05 00:00:00.000,1449385028.59
2021-01-06 00:00:00.000,1447141559.73
2021-01-07 00:00:00.000,1465494673.34
2021-01-08 00:00:00.000,1672019574.39
2021-01-09 00:00:00.000,1303050765.11
2021-01-10 00:00:00.000,1373744539.87
2021-01-11 00:00:00.000,2355781493.21
2021-01-12 00:00:00.000,1225764838.9
2021-01-13 00:00:00.000,1050154893.32
2021-01-14 00:00:00.000,1222371404.92
2021-01-15 00:00:00.000,1401151859.54
2021-01-16 00:00:00.000,1216920629.69
2021-01-17 00:00:00.000,1098645430.34
2021-01-18 00:00:00.000,1120391717.28
2021-01-19 00:00:00.000,1733329042.11
2021-01-20 00:00:00.000,1311047287.7
2021-01-21 00:00:00.000,1698104416.92
2021-01-22 00:00:00.000,1679769169.86
2021-01-23 00:00:00.000,1208997201.32
2021-01-24 00:00:00.000,1359013988.52
2021-01-25 00:00:00.000,1768444311.35
2021-01-26 00:00:00.000,1516571522.95
2021-01-27 00:00:00.000,1494826852.92
2021-01-28 00:00:00.000,1264952048.19
2021-01-29 00:00:00.000,2024547492.77
2021-01-30 00:00:00.000,1328539380.27
2021-01-31 00:00:00.000,1407311090.17
2021-02-01 00:00:00.000,1508723205.28
2021-02-02 00:00:00.000,1682020321.46
2021-02-03 00:00:00.000,1528404387.57
2021-02-04 00:00:00.000,2085761704.89
2021-02-05 00:00:00.000,1865921388.62
2021-02-06 00:00:00.000,1720528757.49
2021-02-07 00:00:00.000,1537701424.31
2021-02-08 00:00:00.000,1820520264.1
2021-02-09 00:00:00.000,1701496887.79
2021-02-10 00:00:00.000,1964776072.92
2021-02-11 00:00:00.000,1462678519.6
2021-02-12 00:00:00.000,1590761654.11
2021-02-13 00:00:00.000,1672542081.9
2021-02-14 00:00:00.000,1508554551.22
2021-02-15 00:00:00.000,1972864217.09
2021-02-16 00:00:00.000,1483862257.37
2021-02-17 00:00:00.000,1736100411.94
2021-02-18 00:00:00.000,1694069596.43
2021-02-19 00:00:00.000,1731565910.03
2021-02-20 00:00:00.000,2189791600.29
2021-02-21 00:00:00.000,1493164383.52
2021-02-22 00:00:00.000,2653833400.51
2021-02-23 00:00:00.000,3569657393.56
2021-02-24 00:00:00.000,1981460211.18
2021-02-25 00:00:00.000,1682021737.39
2021-02-26 00:00:00.000,1851313899.47
2021-02-27 00:00:00.000,1262447827.48
2021-02-28 00:00:00.000,1960985961.86
2021-03-01 00:00:00.000,1535493019.03
2021-03-02 00:00:00.000,1642896241.51
2021-03-03 00:00:00.000,1393145560.83
2021-03-04 00:00:00.000,1429308888.37
2021-03-05 00:00:00.000,1552907656.94
2021-03-06 00:00:00.000,1304169650.95
2021-03-07 00:00:00.000,1973838952.66
2021-03-08 00:00:00.000,1696488152.92
2021-03-09 00:00:00.000,1896573929
2021-03-10 00:00:00.000,1497136740.81
2021-03-11 00:00:00.000,1482848559.03
2021-03-12 00:00:00.000,1745092576.71
2021-03-13 00:00:00.000,1659790676.23
2021-03-14 00:00:00.000,1479477587.59
2021-03-15 00:00:00.000,1527289430.24
2021-03-16 00:00:00.000,1403566339.41
