DATE,POOL_NAME,POOL_ADDR,MIN_EP,MAX_EP
2024-02-13 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,7376.983642578,7376.983642578
2024-02-19 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,2895.28,2895.28
2024-02-21 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,2889.466484568,2997.808309803
2024-02-22 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,2912.741069072,3014.765
2024-02-23 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,2918.093707875,2978.036096255
2024-02-24 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,2902.698082085,4040.443734059
2024-02-25 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,2976.733229707,3102.211882739
2024-02-26 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,3052.638879645,3160.023772193
2024-02-27 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,3204.850345952,3685.022491089
2024-02-28 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,2786.259220096,3882.463305073
2024-02-29 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,3087.398786194,3547.78
2024-03-01 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,3405.341067959,3412.771428571
2024-03-01 00:00:00.000,WETH-DAI,0xb2839134b8151964f19f6f3c7d59c70ae52852f5,3761.413403677,3761.413403677
2024-03-02 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,3136.417486513,4521.479114215
2024-03-03 00:00:00.000,WETH-DAI,0xb2839134b8151964f19f6f3c7d59c70ae52852f5,3568.009353813,3568.009353813
2024-03-03 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,3280.471653385,5976.262808855
2024-03-04 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,2339.343273406,330078.355960519
2024-03-05 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,2867.973561427,19324.372247577
2024-03-06 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,2793.683650925,10798.224724594
2024-03-07 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,2141.575169846,13593.448765639
2024-03-08 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,3115.419202334,17581.030487647
2024-03-09 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,2381.788082148,7635.703988669
2024-03-10 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,2764.191041575,7983.80259939
2024-03-10 00:00:00.000,WETH-DAI,0xb2839134b8151964f19f6f3c7d59c70ae52852f5,3965.206005384,3965.206005384
2024-03-11 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,3238.26157399,43166.651894013
2024-03-11 00:00:00.000,WETH-DAI,0xb2839134b8151964f19f6f3c7d59c70ae52852f5,4016.504974237,361975.526034896
2024-03-12 00:00:00.000,DAI-USDC,0x950847d1dd451b67a2fc1795c0c9a53cf88e63a2,1.685817625,1.698257162
2024-03-12 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,1684.859588502,6071.08007445
2024-03-13 00:00:00.000,WETH-DAI,0xb2839134b8151964f19f6f3c7d59c70ae52852f5,420.952991108,420.952991108
2024-03-13 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,3304.020538997,5350.846340211
2024-03-14 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,2978.868936467,8928.706668121
2024-03-14 00:00:00.000,WETH-DAI,0xb2839134b8151964f19f6f3c7d59c70ae52852f5,2382.40873539,501900.46309159
2024-03-15 00:00:00.000,USDC-DOG,0xfcda377931d5e2000bc721612f783500400f6c64,0.00752731265,0.00752731265
2024-03-15 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,794.400592011,8309.189506204
2024-03-15 00:00:00.000,DAI-USDC,0x950847d1dd451b67a2fc1795c0c9a53cf88e63a2,1.116876006,1.116876006
2024-03-15 00:00:00.000,WETH-DAI,0xb2839134b8151964f19f6f3c7d59c70ae52852f5,3032.498486806,4021.851013233
2024-03-16 00:00:00.000,WETH-USDC,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,1999.962400101,9538.589042618
2024-03-16 00:00:00.000,PIU-USDC,0x79cf9a02ec0af7c7e172660a5010cc34e963374e,0.0001016,0.002269069021
